RIDER_ID,RIDER_NAME,OTP,FARE,DATE_,AVALABLE,JOURNEY,TAXI_NO,CUSTOMER_ID,CUSTOMER_NAME,OTP,JOURNEY
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,1,"  RUTURAJ",1295," MANIPUR"
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,1,"  RUTURAJ",1295," MANIPUR"
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,1,"  RUTURAJ",1295," MANIPUR"
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,1,"  RUTURAJ",1295," MANIPUR"
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,1,"  RUTURAJ",1295," MANIPUR"
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,1,"  RUTURAJ",1295," MANIPUR"
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,1,"  RUTURAJ",1295," MANIPUR"
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,1,"  RUTURAJ",1295," MANIPUR"
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,1,"  RUTURAJ",1295," MANIPUR"
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,1,"  RUTURAJ",1295," MANIPUR"
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,1,"  RUTURAJ",1295," MANIPUR"
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,1,"  RUTURAJ",1295," MANIPUR"
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,1,"  RUTURAJ",1295," MANIPUR"
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,1,"  RUTURAJ",1295," MANIPUR"
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,1,"  RUTURAJ",1295," MANIPUR"
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,1,"  RUTURAJ",1295," MANIPUR"
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,1,"  RUTURAJ",1295," MANIPUR"
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,1,"  RUTURAJ",1295," MANIPUR"
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,1,"  RUTURAJ",1295," MANIPUR"
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,1,"  RUTURAJ",1295," MANIPUR"
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,2," KAJAL",8575,KODINAR
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,2," KAJAL",8575,KODINAR
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,2," KAJAL",8575,KODINAR
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,2," KAJAL",8575,KODINAR
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,2," KAJAL",8575,KODINAR
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,2," KAJAL",8575,KODINAR
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,2," KAJAL",8575,KODINAR
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,2," KAJAL",8575,KODINAR
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,2," KAJAL",8575,KODINAR
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,2," KAJAL",8575,KODINAR
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,2," KAJAL",8575,KODINAR
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,2," KAJAL",8575,KODINAR
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,2," KAJAL",8575,KODINAR
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,2," KAJAL",8575,KODINAR
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,2," KAJAL",8575,KODINAR
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,2," KAJAL",8575,KODINAR
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,2," KAJAL",8575,KODINAR
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,2," KAJAL",8575,KODINAR
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,2," KAJAL",8575,KODINAR
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,2," KAJAL",8575,KODINAR
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,3,KOMAL,9875,DIV
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,3,KOMAL,9875,DIV
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,3,KOMAL,9875,DIV
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,3,KOMAL,9875,DIV
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,3,KOMAL,9875,DIV
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,3,KOMAL,9875,DIV
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,3,KOMAL,9875,DIV
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,3,KOMAL,9875,DIV
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,3,KOMAL,9875,DIV
